,0
0,"어떤 직업을 수행하는 사람들에게 요구되는 행동규범을 의미한다. 예를 들면, 직업인에게 요구되는 직업윤리로는 각자 자기가 맡은 일에 투철한 사명감과 책임감을 가지고 일을 충실히 수행해야 하며, 도덕적이어야 한다는 것을 들 수 있다. 직업윤리는 개인이 사회와 직업을 보는 관점이 다르기 때문에 변화할 수 있다."
1,"조직 현장의 구성원에게 업무 재량을 위임하고 자주적이고 주체적인 체제 속에서 사람이나 조직의 의욕과 성과를 이끌어 내기 위한 ‘권한부여’, ‘권한이양’의 의미이다. 최근 고객 니즈에 대한 신속한 대응과 함께 구성원이 직접 의사결정에 참여하여 현장에서 개선/변혁이 신속 정확하게 이루어지기 위해서 활용도가 높아지고 있다."
2,"개인이나 집단의 문제해결능력을 키워주고 조절함으로써 조직체의 문제와 비전에 대한 자신의 해결책을 개인이나 집단으로 하여금 개발하도록 자극하고 돕거나, 교육훈련프로그램의 실행과정에서 중재 및 조정역할을 담당하는 사람을 의미한다. 퍼실리테이터는 팀 구성원들에게 질문을 던지고, 팀 구성원들의 생각에 맞서며, 한편으로는 독려한다. 팀이 그들 자신의 행동에 대해 더 잘 알도록 해 주는 것이 퍼실리테이터의 역할이다. 퍼실리테이터의 목적은 궁극적으로 학습을 가속화시키는 것으로 팀이 취하는 다양한 행동에 대한 피드백을 제공하고 성찰을 고무하며 학습자들이 문제를 어떻게 해결하고 있는지에 대해 성찰하고 학습을 촉진하는데 도움을 준다."
3,과업 및 작업의 종류와 수준이 비슷한 업무들의 집합으로써 특히 직책이나 직업상 책임을 갖고 담당하여 맡은 일을 의미한다. 즉 어느 정도 비슷한 업무 내용을 가진 직위들을 하나의 관리 단위로 설정한 것이 직무이다. 이와 같이 여러 업무의 맡은 일을 하나의 직무로 편성하는 일은 인사관리상의 중요한 작업의 하나로서 직무분석의 바탕이 된다.
4,"직위에 있어서 구체적인 권한과 책임을 동반하면서 보직이 부여되어 있는 경우를 의미한다. 예를 들어 회사 조직이나 업무상에서 영업 본부장, 생산부장, 마케팅 팀장, 인사부장, 총무과장 등으로 분류할 수 있다."
5,"글로벌 기업의 해외 현지 법인에 파견되어 근무하는 직원을 일컫는 말이다. 세계화 추세와 더불어 글로벌 기업이 늘어나고 있고, 이러한 기업의 해외경영활동은 인적자원의 국가간 이동을 요구하고 있다. 해외주재원들의 성공을 위해서는 필연적으로 현지 적응이 제대로 이루어져야 하며, 해외주재원들을 대상으로 한 파견 전 교육 또는 이문화 교육은 해외에서 수행하는 직무는 물론 다른 문화적 환경에 대한 정보를 제공함으로써 직무역할과 이문화에 대한 불안감과 모호성을 감소시키고, 이를 통해 해외 주재원의 적응의 정도를 높여줄 수 있다."
6,"창의력 증진기법으로 아이디어를 얻기 위해 의도적으로 시험할 수 있는 7가지 규칙을 의미한다. S=Substitute [기존의 것을 다른 것으로 대체해 보라], C=Combine [A와 B를 합쳐 보라], A=Adapt [다른 데 적용해 보라], M=Modify, Minify, Magnify [변경, 축소, 확대해 보라], P=Put to other uses [다른 용도로 써 보라], E=Eliminate [제거해 보라], R=Reverse, Rearrange [거꾸로 또는 재배치해 보라] 등을 뜻한다."
7,"성찰의 사전적 의미는 ‘자신이 한 일을 깊이 되돌아보는 일’을 뜻하며, 주로 자신의 내면적 활동에 초점을 맞추고 있어 심리학에서는 메타인식으로 다루어지고 있다. 교육학적으로는 성찰을 듀이(Dewey, J.)의 ‘반성적 사고’로 설명하며, 합리성과 증거를 바탕으로 신념을 확립하려는 의식적이고 자발적인 행동을 의미한다.성찰은 기존의 인지구조에 바탕을 두고 새로운 경험이나 지식을 평가하고 해석함으로써 새로운 이해를 이끌어내는 과정이라고 말할 수 있다. 또한 성찰은 우리의 사고나 신념체계가 가지고 있는 왜곡을 수정하고 발전적 학습으로 지향해 가기 위한 동인(動因)의 역할을 하기도 한다. 성찰은 개인적 성찰과 사회적 성찰로 나누어 볼 수 있는데, 개인적 성찰은 자신의 경험과 학습한 내용에 대해 성찰하는 것을 말하며, 사회적 성찰은 특정 팀에 속해 팀원들과 토론 및 논의를 하는 과정에서 협력적으로 이루어지는 성찰을 의미한다."
8,"구성원의 성과창출을 촉진하기 위해 업무 목표달성에 부응하여 제공하는 유인책을 의미한다. 종래에는 구성원에게 업무 동기와 몰입을 이끌어내기 위해 제공하는 금전적 보상인 성과급(compensation)이 인센티브의 주종을 이루었다. 그러나 금전적 보상의 한계 효용에 대한 문제점이 현업에서 대두되면서 비금전적 보상인 인정(recognition)이 부각되고 있다. 성과 창출한 구성원을 ‘가치있게’ 여기고, 몰입과 소속감을 불러일으키는 다양한 인정제도가 활용되고 있다."
9,"많은 구성원들로 이루어진 조직에서 활용되는 아이디어 창출기법으로, 브레인스토밍과 유사하지만 그와 비교하여 발언에 소극적인 사람의 참여를 유도할 수 있으며 지배적 개인의 영향력을 줄일 수 있는 장점이 있다.실제 운영방식은, 책상을 원형이나 사각형으로 배치한 다음, 퍼실리테이터가 멤버에게 테마에 대해 설명을 한다. 그리고 각 멤버들에게는 각각 한 장의 시트에 6~8개의 의견을 쓸 수 있는 구분란을 만든 후 배분한다. 우선 3~5분간에 각 참가자는 테마에 관한 자기 나름대로의 아이디어를 한 구분란에만 쓴다. 3~5분이 지나면 자기의 시트를 왼쪽 옆의 참가자에게 전달하도록 한다. 각 참가자는 오른쪽 옆의 참가자에게서 돌아온 시트에 쓰여져 있는 아이디어를 발전시킨 아이디어를 생각해 추가로 써 넣는다. 계속해서 모든 구분란이 채워질 때까지 같은 방법으로 한다. 이전의 아이디어에 대한 발전된 아이디어가 없을 경우에는 독자적인 아이디어를 쓴다.이같은 과정이 끝나면 각자가 가지고 있는 시트의 내용을 각 참가자에게 평가시키고 좋은 아이디어를 각각 다섯개 정도씩 뽑아서 그 아이디어를 전원이 평가하거나 소수의 평가자 브레인스토밍과 같이 나중에 시트내용을 평가해도 좋다. 이러한 방식의 단점은 참가자 간에 서로 자극하는 상승효과를 기대할 수 없는 것이다."
