,0
0,"

보세
무역용어사전

관세제도의 특전으로써 행해지는 과세의 유보를 말하고, 사실상으로는 외국화물의 수입면허 미필상태에 놓여 있는 것을 말한다. 이러한 상태에 있는 외국화물을 보세화물이라고 한다. 여기에는 보세구역에 장치된 상태의 보세와 보세운송에 의한 이동상태의 보세가 있다.
외국어 표기 In Bond(영어)

"
1,"CIF는 Cost, Insurance and Freight(… named port of destination)의 약자이다. Incoterms 2000의 CIF 조건은 선적항에서 본선에 물품의 선적을 완료할 때까지의 제비용(C)인 FOB가격에다 목적항까지의 해상보험료(marine insurance premium : I) 및 해상운임(ocean freight : F)의 비용을 가산한 조건이다."
2,"‘Debt to Income’의 약자로 주택을 구입하려는 사람이 주택담보대출을 받을 경우 채무자의 소득으로 대출 상환 능력을 점검하는 제도다. DTI는 금융회사에 갚아야 하는 대출금 원금과 이자가 개인의 연소득에서 차지하는 비중을 의미하며, 이는 부동산 담보물의 크기만으로 대출 한도를 결정하는 기존의 주택담보대출비율(LTV, Loan To Value ratio)과 차이가 있다. DTI 기준이 엄격하게 적용되면 담보 가치가 높더라도 소득이 충분치 않으면 대출받을 수 없다. 정부는 DTI를 통해 은행의 무분별한 대출 관행과 채무자의 부실 부채 상환을 방지할 수 있다."
3,"프랑스어로 Superior Force의 뜻이다. 불가항력에 기인한 계약의 불이행 또는 지연에 대해서는 매도인은 면책된다. 이 불가항력에 의하여 계약의 이행이 지연되거나 또는 불가능하게 된 경우를 고려하여 미리 면책조항을 계약서에 삽입할 필요가 있다. 폭풍우, 낙뢰, 지진, 태풍, 홍수 등과 같은 자연적인 불가항력 외에 기계의 고장, 동맹파업, 공장폐쇄, 원자재의 부족, 화재 ,선박의 징발, 운송기관의 우발사고나 내란, 전쟁, 정부의 간섭 등에 의한 비상위험 등은 어느 것도 매도인에 있어서는 통제할 수 없는 불가항력이다. 이러한 불가항력에 기인한 지적이나 계약불이행은 불가항력 조항에 의해서 면책된다."
4,"

송하인
무역용어사전

Consignor라고도 한다. 운송계약의 당사자로서 화물운송을 운송인에 대해 자기의 이름으로 의뢰하는 자이다. 또한 수출자(Exporter)이고 매도인(Seller)이기도 하다. 영국에서는 수출자와 동의어로 사용하지만 미국에서는 항공운송, 육상운송의 어느 운송에서도 화물의 적출인은 Shipper라고 한다.
외국어 표기 Shipper(영어)
동의어 Consignor

"
5,"매도인이 매수인에 대하여 어느 품질(Quality)의 상품(Goods)을 어느 수량(Quantity), 어느 가격(Price)으로 어느 선적시기(Time of Shipment)에 어느 지급조건(Terms of Payment)으로 판매하겠다는 의사표시를 하는 것을 오퍼(Offer)라고 한다. 매매계약은 매도인이 매수인에게 보낸 Selling Offer를 매수인이 승낙하거나 반대로 매수인이 매도인에게 보낸 Buying Offer를 매도인이 승낙하거나 매수인이 매도인에게 보낸 주문(Order)을 매도인이 승낙함으로써 체결된다."
6,현물에 있어서 가격변동의 위험을 선물의 가격변동에 의하여 상쇄하는 거래를 말한다. 수출입업자가 외화표시로 상품의 매매를 하고 있어 이에 대하여 선물환으로 환율변동위험을 회피하는 경우이다. Hedging은 환위험(Exchange Risk)을 회피하기 위하여 사용된다.
7,"팩토링(Factoring)은 제조업자(Supplier, Client)가 구매자(Debtor, Customer)에게 상품 등을 외상판매한 후 발생한 매출채권을 팩토링회사(Factor)가 지속적으로 매입하면서 제조업자(상품 또는 용역의 공급자)에게 대금회수, 매출채권관리, 부실채권보호, 금융제공 등의 혜택을 부여하는 서비스를 말한다."
8,"회의(Meeting), 포상관광(Incentives), 컨벤션(Convention), 전시회(Exhibition)의 머리글자를 딴 용어로, 폭넓게 정의한 전시·박람회와 산업을 말한다. 이는 좁은 의미에서 국제회의를 뜻하는 ‘컨벤션’이 회의, 관광, 전시·박람회 이벤트 등 복합적인 산업으로 해석되면서 생겨난 개념으로 볼 수 있다. MICE 관련 방문객은 규모도 크고 1인당 소비도 일반 관광객보다 월등히 높아 관광 수익뿐 아니라 일자리 창출 효과도 크다. 더불어 각국에서 사회적으로 왕성하게 활동하는 계층이기에 도시 홍보·마케팅 유발 효과가 커 최근 세계 주요 도시들은 MICE 산업 육성을 불황 극복의 열쇠로 삼고 있다."
9,"

순이익
호텔용어사전

1. 총수익(總收益, Gross Profit) - 비용(費用, Expenses) = 순이익(純利益, Net Profit).
			2. 총이익(總利益) - (인건비(人件費) + 간접비(間接費)) = 순이익(純利益).
			3. 판매가격(販賣價格) - (식음가격(食飮價格) + 인건비(人件費) + 간접비(間接費)) = 순이익(純利益).
		
외국어 표기 Net Profit(영어), 純利益(한자)
분야 호텔회계
동의어 Net Net

"
