,0
0,"임대주택 중 하나로, 임대사업자가 주택의 소유권을 취득하여 임대하는 주택을 말한다. 여기서 임대사업자란 국가, 지방자치단체, 한국토지주택공사, 지방공사, 주택임대사업을 하기 위하여 등록한 자 및 임대주택조합을 말한다. 근거법은 임대주택법이다."
1,"주택을 분양받으려는 사람이 분양주택의 종류에 따라 일정한 입주자격을 갖추어 사겠다는 의사표시로 예금 등에 가입하는 것을 말한다. 청약하려는 자는 미리 입주자저축(청약저축, 청약예금, 청약부금, 주택청약종합저축)에 가입하는 것이 유리하며, 주거전용면적이 85제곱미터를 초과하는 주택을 분양받으려고 할 때는 제2종 국민주택채권을 매입하기도 해야 한다. 분양하는 주택의 입주자는 주택의 종류에 따라 무주택세대주 기간, 청약저축 납입횟수, 저축총액 등이 많은 순서로 입주자를 선정하는 순차제, 일정한 기준의 가점항목과 감점항목을 합하여 산정한 가점제 점수가 높은 순서로 입주자를 선정하는 방식인 가점제와 추첨의 방식인 추첨으로 선정된다. 주택의 입주자로 선정된 사람은 일정한 기간이 지나기 전에는 입주자로 선정된 그의 지위나 주택을 전매할 수 없다. 근로자·서민 및 생애 최초 주택구입자 등 일정한 기준에 해당하는 사람은 정부가 주택자금의 공급 등을 위하여 설치·운영하는 국민주택기금으로부터 주택마련에 필요한 자금을 장기저리로 융자받을 수 있으며 이렇게 공급되는 주택은 정부가 가격통제를 하기 때문에 주택가격이 상승하는 시기에는 시세차익도 얻을 수 있다."
2,"용도지역의 주거지역 중 일반주거지역의 하나로, 저층주택을 중심으로 편리한 주거환경을 조성하기 위해 국토해양부장관·특별시장·광역시장이 지정하는 지역을 말한다. 제1종일반주거지역의 건폐율은 60% 이하이며 용적률은 100% 이상 200% 이하이다. 4층 이하의 단독주택, 공동주택, 제1종 근린생활시설, 유치원·초등학교·중학교·고등학교, 노유자시설의 설립이 가능하며 관할구역의 면적 및 인구규모, 용도지역의 특성 등을 감안하여 특별시·광역시·시 또는 군의 조례로 할 수 있다. 주거지역은 전용주거지역, 일반주거지역, 준주거지역으로 구분되며 일반주거지역은 제1종일반주거지역, 제2종일반주거지역, 제3종일반주거지역으로 구분된다. 근거는 국토의 계획 및 이용에 관한 법률이다."
3,"용도지역의 주거지역 중 일반주거지역의 하나로, 중층주택을 중심으로 편리한 주거환경을 조성하기 위해 국토교통부장관·특별시장·광역시장이 지정하는 지역을 말한다. 제2종일반주거지역의 건폐율은 60% 이하이며 용적률은 150% 이상 250% 이하이다. 18층 이하의 단독주택, 공동주택, 제1종 근린생활시설, 종교시설, 유치원·초등학교·중학교·고등학교, 노유자시설의 설립이 가능하며 관할구역의 면적 및 인구규모, 용도지역의 특성 등을 감안하여 특별시·광역시·시 또는 군의 조례로 정할 수 있다. 주거지역은 전용주거지역, 일반주거지역, 준주거지역으로 구분되며 일반주거지역은 제1종일반주거지역, 제2종일반주거지역, 제3종일반주거지역으로 구분된다. 근거는 국토의 계획 및 이용에 관한 법률이다."
4,"

직계비속
부동산용어사전

자기로부터 직선으로 내려가서 후손에 이르는 사이의 혈족을 일컫는 말로서, 아들, 딸, 손자, 손녀, 증손, 현손 등을 말한다. 직계존속과 반대되는 개념이다.
외국어 표기 直系卑屬(한자), lineal descendant(영어)

"
5,"용도지역의 주거지역 중 일반주거지역의 하나로, 중·고층주택을 중심으로 편리한 주거환경을 조성하기 위해 국토교통부장관·특별시장·광역시장이 지정하는 지역을 말한다. 제3종일반주거지역의 건폐율은 50% 이하이며 용적률은 200% 이상 300% 이하이다. 단독주택, 공동주택, 제1종 근린생활시설, 종교시설, 유치원·초등학교·중학교·고등학교, 노유자시설의 설립이 가능하며 이 범위 안에서 관할구역의 면적 및 인구규모, 용도지역의 특성 등을 감안하여 특별시·광역시·시 또는 군의 조례로 정할 수 있다. 주거지역은 전용주거지역, 일반주거지역, 준주거지역으로 구분되며 일반주거지역은 제1종일반주거지역, 제2종일반주거지역, 제3종일반주거지역으로 구분된다. 근거는 국토의 계획 및 이용에 관한 법률이다."
6,"주택자금의 대출융자금 원금과 이자를 융자기간동안 매달 같은 금액으로 나누어 갚아가는 방식이다. 이자는 변동이자율이 아닌 고정이자율이다. 초기에는 원금이 많이 남아있으므로 이자를 많이 지급해야 하나 상환할수록 대출원금이 줄어들게 되므로 이자도 점차 줄어든다. 따라서 후기로 갈수록 이자부담은 적어지나 원금상환 비중은 커지는 결과가 된다. 한국주택금융공사에서 시행하는 모기지론의 상환방식도 이 방식을 채택하고 있다. 주택구입시 장기 저리로 대출받는 경우 대개 이 방식이 많이 쓰인다. 고정이자율은 대출시 약정한 이자율을 상환만기까지 유지하는 방식이고 변동이자율은 금리변동에 따라 이자율을 조정하는 방식이다. 고정이자율을 택한 경우 상환기간 중에 이자율이 하락하면 차입자는 조기에 상환하고 새로 융자받으려 할 것이므로, 대출기관은 이러한 위험을 방지하기 위해 보통 조기상환시의 벌금(prepayment penalty)조항을 계약서에 명시한다."
7,"국토의 계획 및 이용에 관한 법률에 의해 지정된 용도 중 녹지지역의 하나로 도시의 녹지공간의 확보, 도시 확산의 방지, 장래도시용지의 공급 등을 위해 보전할 필요가 있는 지역으로서 불가피한 경우에 한해 제한적인 개발이 허용되는 지역이다. 자연 녹지지역 안에서는 도시계획조례로 따로 층수를 정하는 경우를 제외하고는 4층 이하의 건물만을 건설 할 수 있으며 그 건물들은 단독주택, 1종 근린생활시설, 2종 근린생활시설, 의료시설, 교육연구시설, 노유자시설, 수련시설, 운동시설, 창고, 동물 및 식물관련시설, 분뇨 및 쓰레기처리시설, 교정 및 국방시설, 방송통신시설, 발전시설, 묘지관련시설, 관광휴게시설 들만을 건설 할 수 있다."
8,"용도지역 중 하나로, 농업·임업·어업 생산 등을 위하여 관리가 필요하나, 주변 용도지역과의 관계 등을 고려할 때 농림지역으로 지정하여 관리하기 곤란한 지역으로 국토해양부장관·특별시장·광역시장이 지정하는 지역을 말한다. 건폐율은 20% 이하이며 용적률은 80% 이하이다. 4층 이하의 건축물로 단독주택, 초등학교, 운동장, 창고, 교정 및 국방·군사시설, 발전시설 등의 건축이 가능하며 관할구역의 면적 및 인구규모, 용도지역의 특성 등을 감안하여 특별시·광역시·시 또는 군의 조례로 정할 수 있다. 용도지역은 도시지역과 관리지역으로 구분 할 수 있으며 관리지역은 보전관리지역, 생산관리지역, 계획관리지역으로 구분된다. 근거는 국토의 계획 및 이용에 관한 법률이다."
9,"건축물 연면적을 대지면적으로 나눈 비율을 말한다. 건축물연면적은 건축물 각층의 바닥면적 합계이다.용적률=건축물 바닥면적의 합계/대지면적×100이다.예로 100평의 대지에 각층 바닥 면적이 70평인 3층 건물을 지었다고 하면 이 건물의 용적률은 210%이다[210=(70+70+70)/100×100].용적률을 계산할 때 지하층의 바닥면적은 포함시키지 않으며, 또 지상 층의 면적 중에서 주차용으로 쓰는 것, 주민공동시설의 면적, 초고층 건축물의 피난안전구역의 면적은 포함시키지 않는다. 예컨대 바닥 면적이 70평인 건물을 지하1층, 지상 3층으로 짓고 1층 전체를 주차장으로 만들었다고 하면, 이 건물의 연면적은 280평(70평×4개층)이 되어야 하나, 용적률 산정 시 지하층과 주차장을 제외하므로 140평이 된다.용적률이 높을수록 대지면적에 비해 건축물 연면적의 비율이 높다는 뜻이며, 용적률이 높다는 것은 그 만큼 건물을 높게 지을 수 있다는 말이다. 그러므로 용적률이 높은 토지가 낮은 대지에 비해 가격이 높다. 용도지역에 따라 용적률이 다르며 80~1,500%의 범위이며. 도시지역의 주거지역은 500% 이하이다. 건축법과 국토의 이용 및 계획에 관한 법률에 규정하고 있지만, 구체적인 개별토지의 용적률은 해당 지방자치단체가 도시계획조례로 정해놓았으므로 실제 용적률을 알아보려면 해당 자치단체의 조례를 보아야 한다. 지구단위계획에서는 기준용적률, 허용용적률, 상한용적률을 정해 놓고 세분하여 적용한다. 용적률은 건폐율과 함께 지역의 개발밀도를 가늠하는 척도로 활용한다."
10,"주로 상가 등을 빌리는 사람(차주, 借主)이 빌려주는 사람(대주, 貸主)에게 내는 임차료(일시금) 외에, 빌리는 사람이 앞에 빌려서 살던 사람(전차주, 前借主)에게 내는 관행상의 금전을 말하는데, 권리금은 가게 등에서 흔히 있는 것으로 장사가 잘되어 돈을 버는 것을 기대하여 내는 돈이다. 전차주가 요구하는 권리금은 대상 부동산에 부설한 설비나 개량비용, 장사가 잘되어 수익이 보장되는 보이지 않는 대가(代價) 등이 포함된다. 차주는 전차주에게 지급한 권리금을 대주(주인)에게 달라고(청구) 할 수 없다. 이것은 그 부동산이 발생시키는 특수한 장소의 이익 대가로서 별도로 내는 것이다. 어떤 때는 권리금이 보증금보다 더 많을 수도 있다. 권리금은 그곳의 영업시설·비품 등 유형물이나 거래처, 신용, 영업상의 노하우 또는 점포 위치에 따른 영업상의 이점 등 무형의 재산적 가치의 양도 또는 일정 기간 동안의 이용대가이다. 즉 전차주가 점포를 타인에게 양도하기 때문에 포기해야 하는 시설비와 영업권이다. 권리금을 특별히 어떻게 해야 한다고 정한 법률이 없다. 따라서 권리금을 얼마로 해야 한다는 특별한 원칙이 없으며, 그 동네와 점포의 관행에 따라 혹은 거래당사자 간의 흥정에 따라 금액이 달라질 수밖에 없다. 또 세를 얻어간 점포가 재개발에 포함되어 철거해야 하는 수가 있으므로 권리금이 많은 점포를 얻을 때는 미리 잘 조사하고 신중하게 결정해야 한다."
11,"관리지역 중 하나로 자연환경 보호, 산림 보호, 수질오염 방지, 녹지공간 확보 및 생태계 보전 등을 위해서 보전이 필요하나, 주변 용도지역과의 관계 등을 고려할 때 자연환경보전지역으로 지정해서 관리하기가 곤란한 지역을 말한다. 단독주택 및 다중주택, 다가구주택은 보전관리지역 내에 건축할 수 있다. 다만 4층 이하 범위에서 도시계획조례로 따로 층수를 정하는 경우에는 그 층수 이하의 건축물에 한한다. 보전관리지역 내에서 건폐율은 20퍼센트 이하의 범위 안에서, 용적률은 50퍼센트 이상 80퍼센트 이하의 범위 안에서 관할구역의 면적, 인구규모 및 용도지역의 특성 등을 감안하여 특별시, 광역시, 시 또는 군의 도시계획조례가 정하는 비율을 초과해서는 안된다. 근거법은 국토의 계획 및 이용에 관한 법률 시행령이다."
12,"채권자와 채무자가 서로 같은 종류의 채권·채무를 가지고 있는 경우 그 채권과 채무를 대등액에서 소멸시키는 일방적 의사표시를 말한다. 예를 들어, 채권자와 채무자가 100만 원의 금전소비대차를 하였으나, 채무자에게는 이미 채권자에게 다른 받을 돈 50만 원이 있는 경우 50만 원의 액수에 관해서는 채무자가 채권자에게 상계함을 표시하는 동시에 채무가 소멸한다. 다만 상계는 채무의 성질이 상계를 허용하지 않을 때에는 상계할 수 없으며, 당사자가 다른 의사를 표시한 경우에는 상계할 수 없다. 그러나 그 의사표시로써 선의의 제3자에게 대항할 수 없다. 소멸시효가 완성된 채권이 그 완성 전에 상계할 수 있었던 것이면 그 채권자는 상계할 수 있다. 상계는 다음과 같은 경우에 금지된다. ① 채무가 고의의 불법행위로 인한 것인 경우, ② 채권이 압류하지 못할 것인 경우, ③ 압류·가압류와 같이 지급을 금지하는 명령을 받은 제3채무자는 그 후에 취득한 채권에 의한 상계로 그 명령을 신청한 채권자에게 대항할 수 없다. 근거법은 민법이다."
13,"부동산경매에서 부동산 인도명령 신청기간(매각대금을 낸 뒤 6개월 이내)이 지나거나 채무자·소유자 또는 점유자 등 인도명령을 받는 사람 이외의 사람이 해당부동산을 점유하고 있는 경우에 매수인이 그 부동산을 점유하기 위해 넘겨달라는 소송을 제기하는 것을 말한다. 명도소송의 제기권자는 매수인, 매수인의 상속인이나 합병회사와 같은 매수인의 일반승계인이며 명도소송의 제기기간은 인도명령과 달리 그 기간에 제한이 없다. 명도소송판결이 나고 집행문이 발효되면 강제집행하여 해당 부동산을 점유할 수 있다."
14,"도시지역으로 편입이 예상되는 지역이나 자연환경을 고려하여 제한적인 이용·개발을 하려는 지역으로 계획적이고 체계적인 관리가 필요한 지역을 말한다. 도시지역외 지역으로 50%이상이 계획관리지역이면 지구단위계획구역의 지정 대상이 된다. 계획관리지역에서 건축할 수 있는 건축물의 종류는 단독주택, 제1종 근린생활시설, 제2종 근린생활시설, 의료시설, 노유자시설 등이 있다. 다만 이 건축물은 4층 이하로 한정되는데, 도시계획조례에서 따로 층수를 정하는 경우에는 그 층수 이하의 건물로 한정된다. 이 지역의 건폐율은 40% 이하의 범위 내에서 특별시·광역시·특별자치시·특별자치도 시 또는 군의 도시·군계획조례가 정하는 비율을 초과해선 안 되며, 용적률은 50% 이상 100% 이하로 관할구역의 면적, 인구규모 및 용도지역의 특성 등을 감안하여 특별시·광역시·특별자치시·특별자치도 시 또는 군의 도시·군계획조례가 정하는 비율을 초과할 수 없다. 필요한 경우에는 당해 지방자치단체의 관할구역을 세분하여 건폐율과 용적률을 달리 정할 수 있다. 근거는 국토의 계획 및 이용에 관한 법률 및 동법 시행령이다."
15,"임대주택 중 하나로, 임대사업자가 주택의 소유권을 취득하여 임대하는 주택을 말한다. 여기서 임대사업자란 국가, 지방자치단체, 한국토지주택공사, 지방공사, 주택임대사업을 하기 위하여 등록한 자 및 임대주택조합을 말한다. 근거법은 임대주택법이다."
16,"주택을 분양받으려는 사람이 분양주택의 종류에 따라 일정한 입주자격을 갖추어 사겠다는 의사표시로 예금 등에 가입하는 것을 말한다. 청약하려는 자는 미리 입주자저축(청약저축, 청약예금, 청약부금, 주택청약종합저축)에 가입하는 것이 유리하며, 주거전용면적이 85제곱미터를 초과하는 주택을 분양받으려고 할 때는 제2종 국민주택채권을 매입하기도 해야 한다. 분양하는 주택의 입주자는 주택의 종류에 따라 무주택세대주 기간, 청약저축 납입횟수, 저축총액 등이 많은 순서로 입주자를 선정하는 순차제, 일정한 기준의 가점항목과 감점항목을 합하여 산정한 가점제 점수가 높은 순서로 입주자를 선정하는 방식인 가점제와 추첨의 방식인 추첨으로 선정된다. 주택의 입주자로 선정된 사람은 일정한 기간이 지나기 전에는 입주자로 선정된 그의 지위나 주택을 전매할 수 없다. 근로자·서민 및 생애 최초 주택구입자 등 일정한 기준에 해당하는 사람은 정부가 주택자금의 공급 등을 위하여 설치·운영하는 국민주택기금으로부터 주택마련에 필요한 자금을 장기저리로 융자받을 수 있으며 이렇게 공급되는 주택은 정부가 가격통제를 하기 때문에 주택가격이 상승하는 시기에는 시세차익도 얻을 수 있다."
17,"용도지역의 주거지역 중 일반주거지역의 하나로, 저층주택을 중심으로 편리한 주거환경을 조성하기 위해 국토해양부장관·특별시장·광역시장이 지정하는 지역을 말한다. 제1종일반주거지역의 건폐율은 60% 이하이며 용적률은 100% 이상 200% 이하이다. 4층 이하의 단독주택, 공동주택, 제1종 근린생활시설, 유치원·초등학교·중학교·고등학교, 노유자시설의 설립이 가능하며 관할구역의 면적 및 인구규모, 용도지역의 특성 등을 감안하여 특별시·광역시·시 또는 군의 조례로 할 수 있다. 주거지역은 전용주거지역, 일반주거지역, 준주거지역으로 구분되며 일반주거지역은 제1종일반주거지역, 제2종일반주거지역, 제3종일반주거지역으로 구분된다. 근거는 국토의 계획 및 이용에 관한 법률이다."
18,"용도지역의 주거지역 중 일반주거지역의 하나로, 중층주택을 중심으로 편리한 주거환경을 조성하기 위해 국토교통부장관·특별시장·광역시장이 지정하는 지역을 말한다. 제2종일반주거지역의 건폐율은 60% 이하이며 용적률은 150% 이상 250% 이하이다. 18층 이하의 단독주택, 공동주택, 제1종 근린생활시설, 종교시설, 유치원·초등학교·중학교·고등학교, 노유자시설의 설립이 가능하며 관할구역의 면적 및 인구규모, 용도지역의 특성 등을 감안하여 특별시·광역시·시 또는 군의 조례로 정할 수 있다. 주거지역은 전용주거지역, 일반주거지역, 준주거지역으로 구분되며 일반주거지역은 제1종일반주거지역, 제2종일반주거지역, 제3종일반주거지역으로 구분된다. 근거는 국토의 계획 및 이용에 관한 법률이다."
19,"

직계비속
부동산용어사전

자기로부터 직선으로 내려가서 후손에 이르는 사이의 혈족을 일컫는 말로서, 아들, 딸, 손자, 손녀, 증손, 현손 등을 말한다. 직계존속과 반대되는 개념이다.
외국어 표기 直系卑屬(한자), lineal descendant(영어)

"
20,"용도지역의 주거지역 중 일반주거지역의 하나로, 중·고층주택을 중심으로 편리한 주거환경을 조성하기 위해 국토교통부장관·특별시장·광역시장이 지정하는 지역을 말한다. 제3종일반주거지역의 건폐율은 50% 이하이며 용적률은 200% 이상 300% 이하이다. 단독주택, 공동주택, 제1종 근린생활시설, 종교시설, 유치원·초등학교·중학교·고등학교, 노유자시설의 설립이 가능하며 이 범위 안에서 관할구역의 면적 및 인구규모, 용도지역의 특성 등을 감안하여 특별시·광역시·시 또는 군의 조례로 정할 수 있다. 주거지역은 전용주거지역, 일반주거지역, 준주거지역으로 구분되며 일반주거지역은 제1종일반주거지역, 제2종일반주거지역, 제3종일반주거지역으로 구분된다. 근거는 국토의 계획 및 이용에 관한 법률이다."
21,"주택자금의 대출융자금 원금과 이자를 융자기간동안 매달 같은 금액으로 나누어 갚아가는 방식이다. 이자는 변동이자율이 아닌 고정이자율이다. 초기에는 원금이 많이 남아있으므로 이자를 많이 지급해야 하나 상환할수록 대출원금이 줄어들게 되므로 이자도 점차 줄어든다. 따라서 후기로 갈수록 이자부담은 적어지나 원금상환 비중은 커지는 결과가 된다. 한국주택금융공사에서 시행하는 모기지론의 상환방식도 이 방식을 채택하고 있다. 주택구입시 장기 저리로 대출받는 경우 대개 이 방식이 많이 쓰인다. 고정이자율은 대출시 약정한 이자율을 상환만기까지 유지하는 방식이고 변동이자율은 금리변동에 따라 이자율을 조정하는 방식이다. 고정이자율을 택한 경우 상환기간 중에 이자율이 하락하면 차입자는 조기에 상환하고 새로 융자받으려 할 것이므로, 대출기관은 이러한 위험을 방지하기 위해 보통 조기상환시의 벌금(prepayment penalty)조항을 계약서에 명시한다."
22,"국토의 계획 및 이용에 관한 법률에 의해 지정된 용도 중 녹지지역의 하나로 도시의 녹지공간의 확보, 도시 확산의 방지, 장래도시용지의 공급 등을 위해 보전할 필요가 있는 지역으로서 불가피한 경우에 한해 제한적인 개발이 허용되는 지역이다. 자연 녹지지역 안에서는 도시계획조례로 따로 층수를 정하는 경우를 제외하고는 4층 이하의 건물만을 건설 할 수 있으며 그 건물들은 단독주택, 1종 근린생활시설, 2종 근린생활시설, 의료시설, 교육연구시설, 노유자시설, 수련시설, 운동시설, 창고, 동물 및 식물관련시설, 분뇨 및 쓰레기처리시설, 교정 및 국방시설, 방송통신시설, 발전시설, 묘지관련시설, 관광휴게시설 들만을 건설 할 수 있다."
23,"용도지역 중 하나로, 농업·임업·어업 생산 등을 위하여 관리가 필요하나, 주변 용도지역과의 관계 등을 고려할 때 농림지역으로 지정하여 관리하기 곤란한 지역으로 국토해양부장관·특별시장·광역시장이 지정하는 지역을 말한다. 건폐율은 20% 이하이며 용적률은 80% 이하이다. 4층 이하의 건축물로 단독주택, 초등학교, 운동장, 창고, 교정 및 국방·군사시설, 발전시설 등의 건축이 가능하며 관할구역의 면적 및 인구규모, 용도지역의 특성 등을 감안하여 특별시·광역시·시 또는 군의 조례로 정할 수 있다. 용도지역은 도시지역과 관리지역으로 구분 할 수 있으며 관리지역은 보전관리지역, 생산관리지역, 계획관리지역으로 구분된다. 근거는 국토의 계획 및 이용에 관한 법률이다."
24,"건축물 연면적을 대지면적으로 나눈 비율을 말한다. 건축물연면적은 건축물 각층의 바닥면적 합계이다.용적률=건축물 바닥면적의 합계/대지면적×100이다.예로 100평의 대지에 각층 바닥 면적이 70평인 3층 건물을 지었다고 하면 이 건물의 용적률은 210%이다[210=(70+70+70)/100×100].용적률을 계산할 때 지하층의 바닥면적은 포함시키지 않으며, 또 지상 층의 면적 중에서 주차용으로 쓰는 것, 주민공동시설의 면적, 초고층 건축물의 피난안전구역의 면적은 포함시키지 않는다. 예컨대 바닥 면적이 70평인 건물을 지하1층, 지상 3층으로 짓고 1층 전체를 주차장으로 만들었다고 하면, 이 건물의 연면적은 280평(70평×4개층)이 되어야 하나, 용적률 산정 시 지하층과 주차장을 제외하므로 140평이 된다.용적률이 높을수록 대지면적에 비해 건축물 연면적의 비율이 높다는 뜻이며, 용적률이 높다는 것은 그 만큼 건물을 높게 지을 수 있다는 말이다. 그러므로 용적률이 높은 토지가 낮은 대지에 비해 가격이 높다. 용도지역에 따라 용적률이 다르며 80~1,500%의 범위이며. 도시지역의 주거지역은 500% 이하이다. 건축법과 국토의 이용 및 계획에 관한 법률에 규정하고 있지만, 구체적인 개별토지의 용적률은 해당 지방자치단체가 도시계획조례로 정해놓았으므로 실제 용적률을 알아보려면 해당 자치단체의 조례를 보아야 한다. 지구단위계획에서는 기준용적률, 허용용적률, 상한용적률을 정해 놓고 세분하여 적용한다. 용적률은 건폐율과 함께 지역의 개발밀도를 가늠하는 척도로 활용한다."
25,"주로 상가 등을 빌리는 사람(차주, 借主)이 빌려주는 사람(대주, 貸主)에게 내는 임차료(일시금) 외에, 빌리는 사람이 앞에 빌려서 살던 사람(전차주, 前借主)에게 내는 관행상의 금전을 말하는데, 권리금은 가게 등에서 흔히 있는 것으로 장사가 잘되어 돈을 버는 것을 기대하여 내는 돈이다. 전차주가 요구하는 권리금은 대상 부동산에 부설한 설비나 개량비용, 장사가 잘되어 수익이 보장되는 보이지 않는 대가(代價) 등이 포함된다. 차주는 전차주에게 지급한 권리금을 대주(주인)에게 달라고(청구) 할 수 없다. 이것은 그 부동산이 발생시키는 특수한 장소의 이익 대가로서 별도로 내는 것이다. 어떤 때는 권리금이 보증금보다 더 많을 수도 있다. 권리금은 그곳의 영업시설·비품 등 유형물이나 거래처, 신용, 영업상의 노하우 또는 점포 위치에 따른 영업상의 이점 등 무형의 재산적 가치의 양도 또는 일정 기간 동안의 이용대가이다. 즉 전차주가 점포를 타인에게 양도하기 때문에 포기해야 하는 시설비와 영업권이다. 권리금을 특별히 어떻게 해야 한다고 정한 법률이 없다. 따라서 권리금을 얼마로 해야 한다는 특별한 원칙이 없으며, 그 동네와 점포의 관행에 따라 혹은 거래당사자 간의 흥정에 따라 금액이 달라질 수밖에 없다. 또 세를 얻어간 점포가 재개발에 포함되어 철거해야 하는 수가 있으므로 권리금이 많은 점포를 얻을 때는 미리 잘 조사하고 신중하게 결정해야 한다."
26,"관리지역 중 하나로 자연환경 보호, 산림 보호, 수질오염 방지, 녹지공간 확보 및 생태계 보전 등을 위해서 보전이 필요하나, 주변 용도지역과의 관계 등을 고려할 때 자연환경보전지역으로 지정해서 관리하기가 곤란한 지역을 말한다. 단독주택 및 다중주택, 다가구주택은 보전관리지역 내에 건축할 수 있다. 다만 4층 이하 범위에서 도시계획조례로 따로 층수를 정하는 경우에는 그 층수 이하의 건축물에 한한다. 보전관리지역 내에서 건폐율은 20퍼센트 이하의 범위 안에서, 용적률은 50퍼센트 이상 80퍼센트 이하의 범위 안에서 관할구역의 면적, 인구규모 및 용도지역의 특성 등을 감안하여 특별시, 광역시, 시 또는 군의 도시계획조례가 정하는 비율을 초과해서는 안된다. 근거법은 국토의 계획 및 이용에 관한 법률 시행령이다."
