,0
0,"핼러윈(Halloween)은 매년 10월 31일, 그리스도교 축일인 만성절(萬聖節) 전날 미국 전역에서 다양한 복장을 갖춰 입고 벌이는 축제다. 본래 핼러윈은 켈트인의 전통 축제 ‘사윈’(Samhain)에서 기원한 것으로 알려져 있다. 켈트 족은 한 해의 마지막 날이 되면 음식을 마련해 죽음의 신에게 제의를 올림으로써 죽은 이들의 혼을 달래고 악령을 쫓았다. 이때 악령들이 해를 끼칠까 두려워한 사람들이 자신을 같은 악령으로 착각하도록 기괴한 모습으로 꾸미는 풍습이 있었는데, 이것이 핼러윈 분장 문화의 원형이 됐다."
1,"
	• 침대의 매트리스 사이즈는 사람이 누운 방향을 기준으로 발 방향의 좁은 면이 가로, 키의 길이 방향을 세로로 정한다.
	
	때문에 라지킹의 세로는 2000mm를 넘는 경우도 있다. 예를 들어 시몬스 침대의 라지킹의 세로는 2080mm이다.
"
2,멕시코가 원산지인 아보카도는 비타민과 미네랄이 많은 건강 과일입니다. 퓨전 음식의 열풍과 함께 요리를 장식하거나 소스의 재료로 애용되고 있습니다.
3,"

	다낭성 난소 증후군이란?
	


다낭성 난소 증후군은 가임기 여성에서 흔하게 나타나는 내분비 질환으로 발병율은 약 5~10% 입니다. 배란 장애나 희발 배란이 있는 여성에서 다낭성 난소의 초음파 소견이나 고안드로겐 혈증이 있고, 이를 유발할 만한 다른 질환이 없는 경우에 진단할 수 있습니다. 그 원인과 발생 기전이 명확하지 않습니다. 외국인의 경우 비만과 다모증을 흔히 동반하지만, 한국인에서는 이런 증상이 많지는 않습니다.


		
		정상 난소와 다낭성 난소 (ⓒ medart)
	


	증상
	



배란 장애
배란 장애는 다낭성 난소 증후군 환자의 약 60~85%에서 관찰됩니다. 희발 배란, 무배란으로 인해 희발 월경, 무월경이 흔하고, 약 30%에서는 기능성 자궁 출혈을 나타나며, 드물게는 빈발 월경(월경 주기가 규칙적이나 25일 이내로 비정상적으로 빠른 경우)을 보이는 경우도 있습니다. 이러한 생리 불순은 사춘기 때 시작하여 평생 지속될 수 있으며, 배란 장애로 인하여 불임으로 이어질 수 있습니다.
고안드로겐 혈증
고안드로겐 혈증과 다모증의 가장 흔한 원인이 다낭성 난소 증후군입니다. 고안드로겐 혈증이란 안드로겐(남성 호르몬) 과다 상태를 말하며, 임상 증상은 다모증, 여드름, 남성형 탈모 등으로 나타납니다.다모증은 굵고 뻣뻣하며 색깔이 진한 남성형 종말털이 자라는 것을 말하며, 인종에 따라 발생률 차이가 있어서 미국인 다낭성 난소 증후군 환자의 경우 70%에서 다모증이 관찰되지만, 일본 지역에서는 10~20% 정도에서만 다모증이 나타납니다.청소년기 여아의 30~50%가 여드름이 생기는데, 이들이 모두 다낭성 난소 증후군의 위험이 있는 것은 아닙니다. 피부과 치료를 받는데도 불구하고 호전이 없는 경우, 만 9세 이전에 여드름이 발생한 경우, 10대 초기에 심한 낭포성 여드름이 생기는 경우, 10대 후반~20대 이후에도 지속되는 여드름인 경우에는 호르몬 검사를 고려할 수 있습니다.남성형 대머리는 고안드로겐 혈증의 임상 증상이지만, 남성형 대머리가 있다고 해서 반드시 다낭성 난소 증후군이라고 할 수는 없습니다. 유전적, 영양학, 전신 상태 등의 여러 원인이 대머리 발생에 영향을 미치며, 다낭성 난소 증후군 여성의 5% 미만에서 탈모가 나타납니다.다낭성 난소 증후군이 있는 여성에서 고안드로겐 혈증을 나타내는 임상적인 증상을 보이는 경우에도, 반드시 혈액 검사에서 안드로겐 증가 소견을 보이는 것은 아닙니다.
생식샘 자극 호르몬의 분비 이상
생식샘 자극 호르몬의 분비 이상은 다낭성 난소 증후군 여성의 공통적 특징으로 여겨져 왔습니다. 혈중 황체 형성 호르몬과 난포 자극 호르몬의 비율이 증가하는 것이 전형적인 소견입니다. 그러나 진단 기준이 되지는 않습니다.
대사 증후군
대사 증후군이란, 각종 심혈관 질환과 제2형 당뇨병의 위험 요인들이 서로 복합적으로 나타나는 현상을 한 가지 질환군으로 개념화시킨 것입니다. 다낭성 난소 증후군 환자의 약 1/3~1/2 정도에서 대사 증후군을 동반합니다. 대사 증후군의 대표적인 증상으로는 인슐린 저항성, 이상지질 혈증, 비만을 들 수 있습니다.인슐린 저항성 및 고인슐린 혈증은 다낭성 난소 증후군 환자의 특징적인 소견 중 하나입니다. 다낭성 난소 증후군 여성의 50~75%에서 인슐린 저항성이 관찰되며, 비만일 경우 더 증가하므로, 경구포도당 부하검사(당뇨 검사)가 필요합니다. 
이상지질 혈증은 다낭성 난소 증후군 환자에서 보이는 가장 흔한 대사 이상으로 거의 70% 이상의 환자에서 최소 한 가지 이상의 지질이 경계선상에 있거나 증가되어 있습니다. 
다낭성 난소 증후군 환자의 50%에서 비만을 보이지만, 비만 발생률은 인종에 따라 차이가 크고, 동양인의 경우 비만 빈도가 높지 않습니다.
자궁내막암
다낭성 난소 증후군 환자는 자궁내막암의 발생률이 3배 정도 증가하며, 폐경 후 유방암 발생률도 3~4배 증가합니다. 자궁내막암의 조기 진단을 위한 자궁내막 검사는 환자의 나이뿐만 아니라, 환자가 무배란이었던 시기도 고려하여 결정하게 됩니다.


		
		다낭성 난소 증후군으로 인한 시기별 발생 질환
	


	치료
	


다낭성 난소 증후군의 치료는 완치의 개념은 아닙니다. 환자의 증상에 맞추어 비수술적 치료, 수술적 치료 등을 고려할 수 있으며, 다음과 같은 측면을 고려하여 접근하게 됩니다.

생리 불순
자궁내막증식증 및 자궁내막암 발생 위험
고안드로겐 혈증
불임
제2형 당뇨의 발생 위험
심혈관계 질환의 발생 위험


비수술적 치료
다낭성 난소 증후군에 대한 내과적인 치료는 반응이 느리기 때문에 치료 효과를 보기 위해서는 수개월 정도가 필요합니다.비만한 다낭성 난소 증후군 환자에서 가장 첫 번째 치료가 체중 감량입니다. 체중의 2~5% 정도만 감소시켜도 대사와 생식 기능이 현저히 호전됩니다. 다낭성 난소 증후군 환자에서 식이에 대한 지침은 아직 없으나, 전체 섭취 칼로리를 줄이는 것이 가장 중요하다고 알려져 있습니다.

경구 피임약은 혈중 호르몬 이상을 교정하는 효과가 있으며 여드름 치유 효과도 있어 약 50~70% 정도에서 호전을 보입니다. 경구 피임약 복용은 자궁내막암을 예방하는 효과도 있습니다.경증의 국소적 다모증의 경우 미용적인 방법(면도, 발모, 왁싱, 제모 등)으로 효과를 볼 수 있습니다. 이런 방법에 효과가 없는 경우 경구 피임약, 항안드로겐 약물 등의 내과적 치료를 고려할 수 있습니다.대사 장애 개선을 위해 메트포르민(Metformin), 티아졸리디네디온(Thiazolidinedione), 스타틴(Statin) 등의 약을 사용하기도 합니다.다낭성 난소 증후군의 치료는 사실 현재까지 만족할 만한 것은 없으며, 약물 치료의 경우 체중 감량과 비교하여, 더 좋은 효과를 보이고 있지는 않은 실정입니다. 당뇨 약제를 사용하는 방법 역시 마찬가지입니다. 당뇨 약제가 다낭성 난소 증후군이 있는 여성에서 부분적으로 배란을 되돌리는 효과를 보이기는 하지만, 이를 장기 복용했을 때 무배란으로 인해 발생되는 만성적인 건강상의 문제들도 해결될 것인가에 대해서는 알 수 없습니다.
수술적 치료
다낭성 난소 증후군 환자의 수술적 치료는 1939년 처음 시도되었으며, 현재 사용되고 있는 방법은 전기 소작술, 레이저 기화술, 복강경을 이용한 난소 절제, 난소 천공술 등이 있습니다. 수술 후 항체 형성 호르몬 농도가 정상화되고, 안드로겐 수치와 인슐린 저항성이 감소되는 효과를 보이며, 특히 클로미펜에 효과가 없는 다낭성 난소 증후군 환자에서 이차 치료로 권고되고 있습니다.수술 후 1년 이내 임신율은 약 50~80%로 보고된 바 있으며, 난자의 질이나 자궁내막의 감수성을 향상시켜 임신 시 자연 유산율을 낮출 수 있습니다. 수술 후 합병증으로 부속기 주위 유착 형성, 난소 예비력의 손상 등이 생길 수 있습니다.
배란 유도를 통한 불임 치료
다낭성 난소 증후군 여성들은 배란 장애로 인해 임신이 잘 되지 않아 병원에 내원하는 경우가 많습니다. 이런 경우 일반적으로 배란 유도 치료를 하게 됩니다.클로미펜이 가장 먼저 처방하는 약입니다. 클로미펜은 비교적 안전하고, 효과적이며, 저렴한 약제입니다. 월경 3~5일째 복용하기 시작하여, 하루에 50~150mg(1~3정)을 5일간 복용합니다. 배란이 잘 되었을 때, 치료 3주기 내 임신율은 약 50%이며, 치료 6~9주기 내에 약 75%가 임신합니다. 그러나 클로미펜 치료시 5~8%에서 다태 임신의 위험성이 있으며, 환자의 20%에서는 클로미펜 치료에 반응이 없을 수 있습니다.클로미펜 배란 유도가 실패한 경우, 인슐린 민감제(메트포르민)를 클로미펜과 병행하여 사용하는 것을 고려할 수 있습니다. 이 경우 클로미펜 단독 사용보다 배란율과 임신율이 증가하는 것으로 나타났습니다.다른 배란 유도 방법으로는 생식샘 자극 호르몬을 사용하는 방법을 고려할 수 있습니다. 이는 매우 효과적이기는 하지만 다태 임신과 난소 과자극 증후군 등이 발생할 수 있는 위험이 있으므로, 주의 깊은 추적 관찰이 필요합니다."
4,"하수오, 인삼과 함께 3대 명약으로 여겨지는 구기자는 콜린대사물질의 하나인 베타인이 풍부해서 간에 지방이 축적되는 것을 억제하여 줍니다."
5,"




















외국어 표기


Beetroot(영어)




분류


채소 > 근채류




원산지


지중해 연안의 남부유럽과 북아프리카




주요 생산지


- 경기 이천- 강원 평창- 제주도




특징


빨간 무라고도 불리는 비트는 잎은 적근대와 비슷하지만, 빨간색 뿌리는 우리나라 강화 순무와 비슷하다.




종류(구분, 품종)


조생종, 중생종, 만생종




효능


비트에는 베타인이라는 색소가 포함되어 있어 세포 손상을 억제하고 토마토의 8배에 달하는 항산화 작용으로 폐암, 폐렴 등 암을 예방하고 염증을 완화하는 효과가 있다.




열량


100g당 37kcal 




음식궁합


빨간 무라고도 불리는 비트는 베타인이라는 색소가 포함되어 있어 세포 손상을 억제하고 토마토의 8배에 달하는 항산화 작용을 한다 허브류나 샐러드용으로 많이 사용된다.




활용


주로 생것 그대로 샐러드나 생채로 먹으면 좋다. 수프를 끓이거나 전을 부쳐도 맛있다.




고르는 법


표면이 매끄럽고 모양이 둥그스름한 것을 골라야 한다. 수확한 지 얼마 안 된 것은 흙이 많이 묻어 있고, 잘랐을 때 붉은색이 선명하게 드러난다. 




손질법


흐르는 물에 흙을 깨끗이 씻은 후 껍질을 벗기고 적당한 크기로 잘라 이용하면 된다.  




보관법


수분이 날아가지 않도록 키친타월로 감싼 후 비닐 팩에 넣어 냉장고에 보관한다.

















비트란?
















비트



















비트 단면




16세기 독일에서 본격적으로 재배가 시작된 비트는 지중해 시칠리아가 재배의 기원이다. 빨간 무라고도 불리는 비트는 잎은 적근대와 비슷하지만, 빨간색 뿌리는 우리나라 강화 순무와 비슷하다.뿌리채소로 보통 무를 사용하지만, 잎도 식용으로서의 활용도가 높다. 속잎은 은은한 단맛과 부드러운 식감이 특징이며, 겉잎은 고기 등과 함께 요리에 사용하면 요리의 풍미를 높일 수 있다. 뿌리는 저장성이 좋아 1년 내내 먹을 수 있지만, 제철은 가을부터 초겨울이다.오렌지나 자몽, 라임, 레몬 등 시트러스계(감귤류)의 과일과 잘 어울려 샐러드드레싱에 많이 사용되며, 차이브, 민트, 테라곤 등의 허브류, 그리고 시금치나 엔다이브, 양파, 샬롯 등의 채소와도 잘 맞아 샐러드 등 다양한 용도로 활용된다. 















비트의 영양 및 효능비트에는 베타인이라는 색소가 포함되어 있어 세포 손상을 억제하고 토마토의 8배에 달하는 항산화 작용으로 폐암, 폐렴 등 암을 예방하고 염증을 완화하는 효과가 있다. 비트의 8%는 염소로 구성되어 있는데, 이 염소 성분은 간 정화작용을 하고, 골격 형성 및 유아 발육에 효과가 있다. 또한 철분과 비타민이 다량 함유되어 있어 적혈구 생성을 돕고, 혈액을 깨끗이 씻어 월경불순이나 갱년기 여성에게 좋은 것으로 알려져 있다. 뿐만 아니라 위 손상을 막아주고 위 점막을 보호해주기도 한다.














비트 고르는 법비트를 고를 때는 표면이 매끄럽고 모양이 둥그스름한 것을 골라야 한다. 수확한 지 얼마 안 된 것은 흙이 많이 묻어 있고, 잘랐을 때 붉은색이 선명하게 드러난다. 껍질은 단단해야 하며, 크기는 중간 정도가 가장 부드럽고 맛있다. 














비트 손질법




















흐르는 물에 비트의 흙을 깨끗이 씻는다.




흐르는 물에 비트의 흙을 깨끗이 씻은 후 껍질을 벗기고 적당한 크기로 잘라 이용하면 된다. 껍질을 벗길 때는 보통 껍질 벗기는 도구(필러)나 칼을 이용하지만, 쿠킹 페이퍼(요리용 종이)로 비트를 포장한 후 오븐에 살짝 구워도 껍질을 쉽게 벗길 수 있다. 오래돼 수분이 빠져나간 비트는 이용하기 전에 물에 잠시 담가두면 수분을 흡수해 다시 생생해진다.



























필러로 껍질 제거 (좌), 칼로 껍질 제거 (우)














비트 보관방법




















신문지나 키친타월로 감싼 후 비닐 팩에 넣어 냉장 보관한다.




수분이 날아가지 않도록 신문지로 감싸거나 키친타월로 감싼 후 비닐 팩에 넣어 냉장고에 보관한다. 비트를 보관하기 전에 손질할 때는 줄기 부분을 5cm 정도 남기고 제거하는 것이 좋은데, 줄기가 어느 정도 남아있어야 수분과 색소가 손실되지 않기 때문이다. 비트의 무청은 신문지나 키친타월로 잘 감싼 후 비닐 팩에 밀봉하여 보관한다. 보통 뿌리는 2주 정도 냉장 보관이 가능하고, 잎은  3~5일 정도 가능하나 그 안에 섭취하는 것이 좋다.















비트 활용방법
















용도


활용 메뉴




생채, 냉채, 샐러드


생채무침, 미역 냉채, 샐러드의 재료




볶음


감자볶음, 베이컨 볶음 등의 재료




전, 튀김


감자 비트전, 비트튀김




조림


채소조림




김치, 장아찌


물김치, 장아찌, 피클, 비트잎 김치, 비트잎 겉절이

















[참고자료]- 대한민국 식재총람- 농림수산식품교육문화정보원(농식품정보누리)- www.diynetwork.com











"
6,가을철이 제철인 단감은 항암효과 뛰어나고 비타민 C가 많아 감기에도 좋답니다. 농촌의 가을을 떠올리면 붉게 익은 감을 잔뜩 매단 감나무를 떠올리게 됩니다. 감은 고향의 향수를 불러일으키는 과일이랍니다.
7,고기를 먹었는데 소화가 잘 안 되시나요? 무화과를 드셔 보세요. 단백질 분해효소가 많이 들어 있어 육식을 한 뒤 무화과를 먹으면 소화를 도와준답니다.
8,살찌고 싶지 않다면 고기 대신 버섯을 먹어 보는 것도 좋습니다. 향이 독특한 능이버섯은 어떨까요? 저칼로리로 다이어트에 도움이 된답니다.
9,"현재 법률적으로 사망이라고 함은 심장기능이 멎었을 때를 의미한다. 실제 많은 사람들의 심장 박동이 멈추고 있지만 그들 중 사망에 이르기에는 심장 상태가 좋은 경우들이 많다. 이러한 심정지 환자들에게 자발적인 심장 활동을 회복시키고자 하는 일련의 과정을 심폐소생술이라고 한다. 심폐소생술의 지침은 1974년 미국 심장학회에서 제시되어 수차례의 개정을 거쳤으며, 2000, 2005, 2010 가이드라인을 거쳐 현재 2015 가이드라인이 발간되었다.심폐소생술은 크게 일반인과 의료 종사자를 위한 기본 심폐소생술과 의료인을 대상으로 하는 전문 심폐소생술로 구분된다. 기본 심폐소생술에서 중요한 과정은 심정지 발생의 빠른 인지와 가슴 압박, 인공 호흡 그리고 빠른 제세동으로 이루어진다. 이러한 과정의 1단계는 심장처치에 의한 순환회복이며, 가장 중요한 목표는 뇌 소생이다. 성공적인 소생을 위한 ‘생존의 사슬’은 조속한 인지, 기본 심폐소생술, 제세동, 전문 심폐소생술로 구성되며 이들 사슬을 서로 연결하는 노력이 중요하다.


	순서와 방법
	
의식/호흡 확인 및 주변 도움 요청(119 신고 및 자동제세동기) → 가슴 압박 30회(분당 100~120회/약 5cm 이상의 깊이) → 기도개방 및 인공 호흡 2회 → 가슴 압박과 인공 호흡 무한 반복








var userAgentLowerCase=userAgentLowerCase||navigator.userAgent.toLowerCase();
window.IS_NAML_MOBILE = (userAgentLowerCase.indexOf('iphone') > -1 || userAgentLowerCase.indexOf('android') > -1 || userAgentLowerCase.indexOf('ipad') > -1 || userAgentLowerCase.indexOf('ipod') > -1);
if(!window.NAML_MODULE_LIST) window.NAML_MODULE_LIST = [];	
NAML_MODULE_LIST.push({type : (IS_NAML_MOBILE) ? ""m_rmc_video"" : ""rmc_video"", id : ""RMC_VIDEO_75898633"", data : {baseELId : ""RMC_VIDEO_75898633"", pageType: (IS_NAML_MOBILE) ? ""mobile"" : ""pc"", moduleId : ""75898633"", masterVideoId : ""0FDA1D2A58A8CF837BCD49054046706BF6E9"", videoId1 : ""0FDA1D2A58A8CF837BCD49054046706BF6E9"", titleImage : ""https://phinf.pstatic.net/image.rmcnmv/ncr/2015/05/02/725/531C04F3D380F3FC1FE3E35813207EB3A45_muploader_g_450P_800_1024_128_B_logo.jpg"", playerWidth : ""576"", playerHeight : ""361"", rmcVideoId : ""2011""}});
(function(){
	var width, height;
	if(IS_NAML_MOBILE){width = 280;height = 157;} else {width = ""576"";height = ""361"";width = (width !== """") ? width : ""0"";height = (height !== """") ? height : ""0"";}
	document.getElementById(""RMC_VIDEO_75898633_wrapper"").style.minHeight = height+""px"";
	document.getElementById(""RMC_VIDEO_75898633"").style.width = width+""px"";
	document.getElementById(""RMC_VIDEO_75898633"").style.minHeight = height+""px"";
})();



1. 의식/호흡 확인 및 주변 도움 요청(119 신고 및 자동제세동기)


이미지 목록








		
		환자를 바로 눕힌 후 어깨를 가볍게 치면서 의식이 있는지, 숨을 정상적으로 쉬는지 확인한다.








		
		주변 사람들에게 119 호출 및 자동제세동기를 가져올 것을 요청한다.





2. 가슴 압박 30회(분당 100~120회, 약 5cm 이상의 깊이)


이미지 목록








		
		가슴의 중앙인 흉골의 아래쪽 절반부위에 손바닥을 위치시킨다.








		
		양손을 깍지 낀 상태로 손바닥의 아래 부위만을 환자의 흉골부위에 접촉시킨다.








이미지 목록








		
		시술자의 어깨는 환자의 흉골이 맞닿는 부위와 수직이 되게 위치한다.








		
		양쪽 어깨 힘을 이용하여 분당 100~120회 정도의 속도로 5cm 이상 깊이로 강하고 빠르게 30회 눌러준다.





3. 기도 개방 및 인공 호흡 2회


이미지 목록








		
		한 손으로 턱을 들어 올리고, 다른 손으로 머리를 뒤로 젖혀 기도를 개방시킨다.








		
		머리를 젖힌 손의 검지와 엄지로 코를 막는다.











			
			가슴 상승이 눈으로 확인될 정도로 1초 동안 인공호흡을 2회 실시한다.
	

4. 무한 반복
119 도착이나 제세동기 도착 및 패드 부착 시까지 가슴 압박과 인공 호흡을 30:2 비율로 반복한다.약 2분간(5회 반복)의 심폐소생술 후에도 119 신고가 되지 않았거나 자동제세동기가 도착하지 않았다면, 119에 다시 신고하고 근처에 있는 자동제세동기를 가져온 후 심폐소생술을 재개한다. 심폐소생술을 지속하는 동안 환자가 스스로 숨을 쉬거나 움직임이 명확할 때 심폐소생술을 중단할 수 있다.참고! 가슴압박소생술2015 한국형 심폐소생술 가이드라인(일반인용)에 따르면, 인공호흡 하는 방법을 모르거나 인공호흡을 꺼리는 일반인 구조자는 가슴압박소생술을 하도록 권장합니다. 가슴압박소생술은 심폐소생술에서 인공호흡은 하지 않고, 가슴 압박만을 시행하는 소생술 방법입니다. 






var userAgentLowerCase=userAgentLowerCase||navigator.userAgent.toLowerCase();
window.IS_NAML_MOBILE = (userAgentLowerCase.indexOf('iphone') > -1 || userAgentLowerCase.indexOf('android') > -1 || userAgentLowerCase.indexOf('ipad') > -1 || userAgentLowerCase.indexOf('ipod') > -1);
if(!window.NAML_MODULE_LIST) window.NAML_MODULE_LIST = [];	
NAML_MODULE_LIST.push({type : (IS_NAML_MOBILE) ? ""m_rmc_video"" : ""rmc_video"", id : ""RMC_VIDEO_3638931"", data : {baseELId : ""RMC_VIDEO_3638931"", pageType: (IS_NAML_MOBILE) ? ""mobile"" : ""pc"", moduleId : ""3638931"", masterVideoId : ""D5665D9764EF8A78096981E760F310062BC7"", videoId1 : ""D5665D9764EF8A78096981E760F310062BC7"", titleImage : ""https://video-phinf.pstatic.net/20180417_247/1523926873970fP9SU_JPEG/d2109c5e-41da-11e8-afad-0000000041ed_03.jpg"", playerWidth : ""576"", playerHeight : ""361"", rmcVideoId : ""2011""}});
(function(){
	var width, height;
	if(IS_NAML_MOBILE){width = 280;height = 157;} else {width = ""576"";height = ""361"";width = (width !== """") ? width : ""0"";height = (height !== """") ? height : ""0"";}
	document.getElementById(""RMC_VIDEO_3638931_wrapper"").style.minHeight = height+""px"";
	document.getElementById(""RMC_VIDEO_3638931"").style.width = width+""px"";
	document.getElementById(""RMC_VIDEO_3638931"").style.minHeight = height+""px"";
})();






	주의사항
	

· 우선 환자와 자신이 있는 공간이 안전한 곳인지 확인한다.· 심정지 환자의 경우 간혹 헐떡이는 듯이 숨을 쉬는 양상을 보이기도 하나 이는 비정상적인 호흡이며 심정지 현상의 하나이므로 이러한 호흡을 보일 경우 즉시 심폐소생술을 시행해야 한다. 얕게, 빠르게, 가슴 운동이 명확하지 않는 등의 호흡 패턴 양상을 보고 환자가 숨을 쉰다고 섣불리 판단하여 응급의료체계 활성화를 늦추어서는 안 된다.· 가슴을 압박할 때 팔꿈치에 힘을 주고 절대 구부리지 않는다.· 흥분하면서 가슴 압박을 너무 빠른 속도(분당 150회 이상)로 시행하지 않는다. 가슴을 눌러주는 것도 중요하지만 누른 가슴 부위를 다시 원상태로 팽창시키는 것도 중요하기 때문이다.· 가슴 압박 후 인공 호흡으로 넘어가는 과정에서 환자의 맥박이 만져지는지 확인하지 말고 즉시 인공 호흡을 한다.· 인공 호흡은 반드시 턱을 들고 머리를 뒤로 젖힌 후 기도 개방 유지상태에서 시행하도록 한다.· 인공 호흡 시 환자의 가슴 상승이 관찰되지 않더라도 2회만 시행한다. 가슴 압박이 가장 중요하므로 인공 호흡을 잘하려고 가슴 압박을 연기시켜서는 안 된다."
