,0
0,건강을 생각하는 요즘 다이어트에 관심들이 많답니다. 샐러드는 열량이 낮고 영양이 풍부하여 저열량식으로 많이 애용되는데요. 샐러드에 빠질 수 없는 고소한 맛 마요네즈에 대해 정확히 알아봅시다.
1,입맛이 없을 때 매운 음식을 먹으면 입맛이 되살아나곤 하죠. 이럴 때 꽈리고추볶음이 제격입니다. 적당히 매운맛으로 여러분의 입맛을 잡아줄 것 같습니다. 멸치와 함께 볶으셔도 좋고요.
2,"버본과 경마의 본 고장인 캔터키의 풍경속으로 추억을 달린다.무대는 캔터키 경마로 유명한 루이빌이다.경마꾼이 즐겨찾는 술집인 「펜데니스 클럽」의 바텐더가 단골을 위해서 만든 것이 이 칵테일이라고 한다.올드 패션은 '고풍'이라는 뜻인데, 이 이름과는 반대로, 지금도 폭넓은 연령층으로부터 사랑을 받고 있다.진이나 럼, 브랜디 등으로 베이스를 바꿀 수 있으며, 그 경우에는 진 올드 패션이라고 한다.위스키는 가능하면 라이나 버본 등의 미국 위스키를 사용하기를 권한다. 본토에서 탄생한 칵테일로서, 본래의 맛과 분위기를 재현할 수 있다.제조방법재료라이 또는 버본 위스키 | 45ml앙고스투라 비터 | 2dashes각설탕 | 1개두꺼운 오렌지 슬라이스 | 1장두꺼운 레몬 슬라이스 | 1장말라스퀴노 체리 | 1개1. 올드 패션 글래스에 넣은 각설탕에 비터를 쳐서, 잘 스며들게 한다.2. 위스키를 붓고, 오렌지 슬라이스, 레몬 슬라이스, 체리로 장식한 후, 유리막대를 꽂는다.※ 오렌지나 레몬 슬라이스는 유리막대로 으깨어서 맛을 내고, 단맛은 각설탕으로 조절한다.잔의 크기에 비해서 오렌지 슬라이스가 큰 경우에는 반으로 자른다."
3,"· 주재료 : 스위스 와인(화이트 와인) 1컵, 에멘탈 치즈 200g, 그뤼에르 치즈 100g
· 부재료 : 옥수수전분 2큰술, 마늘즙 1작은술, 바게트 50g, 양송이버섯 5개, 레몬즙(약간)
"
4,"


 


이미지 크게보기





"
5,어복쟁반은 놋쟁반에 갖가지 고기편육과 채소류를 푸짐하게 담고 가까운 사람끼리 둥글게 모여 앉아 육수를 부어가며 먹는 추위를 이기게 하는 일종의 전골이자 온면으로 의리있고 인정 많은 평안도 사람들의 기질이 잘 표현된 음식이라 할 수 있다.
6,"










알코올 등급

                                        1.5단계 초과

                                






"
7,한입에 쏙 들어가는 메추리알 장조림은 도시락 반찬으로 인기 있는 메뉴입니다.
8,"


 


이미지 크게보기





"
9,"우유와 우유거품이 조화를 이루는 메뉴이다. 부드럽고 진한 맛이 특징이며, 150~180㎖의 잔을 사용한다.카푸치노는 에스프레소와 우유와 우유 거품의 비율이 맞아야 맛있는 메뉴가 된다. 잔의 높이로 본다면 1:1:1이 되며, 양으로 본다면 1:2:3의 비율이 된다. 양으로는 우유거품이 가장 많이 들어가지만 잔은 아래가 좁고 위가 넓기 때문에 높이로는 1:1:1이 된다.거품의 양이 잔에서 1cm 이상 덮여야 좋은 품질의 카푸치노라고 할 수 있다. 카푸치노를 만들 때는 에스프레소에 우유와 우유거품을 같이 따르면 된다. 스팀피처에 우유거품을 만들고 잔에 따르기 전에 잘 흔들어서 우유와 우유거품을 잘 섞어준 다. 그 다음 잔에 부어야 우유와 우유거품이 분리되지 않고 에스프레소에 잘 섞인다.처음 부을 때는 10cm 정도의 높이에서 양은 적게 해서 부어주고, 잔에 반이 차면 스팀피처를 잔에 대고 좌우로 흔들어서 거품이 나오도록 많은 양을 붓는다. 가운데 우유의 흰색과 에스프레소 크레마의 색이 2:1 정도가 되어야 좋은 색감이라 할 수 있다.완성된 카푸치노는 시나몬이나 초코가루를 뿌려서 즐길 수 있다. 설탕을 위에 뿌린 다음 젓지 않고 스푼으로 거품을 떠먹고 나서 커피를 마시는 방법과 설탕을 넣어 저어서 먹는 방법, 오렌지나 과일을 넣어서 먹는 방법, 좋아하는 향시럽을 첨가해서 먹는 방법 등 다양하게 즐길 수 있다."
