,0
0,"거래처 또는 종업원/임원들로부터 일시적으로 받은 신원보증금, 퇴직금 및 매월 지급되는 급료에서 공제된 예수금(원천세/보험료/국민연금 등의 보관액)으로서 부채에 속하는 품목이다. 예수금은 그 내용에 따라 금액이 클 때에는 종업원예수금, 임원예수금, 신원보증예수금,보험료예수금 등으로 세분하여 기입한다."
1,"저당권의 일종으로서 채무자와의 계속적 거래계약 등에 의해 발생하는 불특정 채권을 일정액의 한도에서 담보하는 저당권을 말한다.피담보채권이 소멸하면 저당권도 소멸하는데, 근저당권은 일정한 범위에 속하는 피담보채권을 정해 두면 그 채권이 소멸해도 근저당권에는 영향이 없고, 그 후에 해당 채권이 다시 발생하면 그 채권은 근저당권으로 담보된다."
2,당사자의 일방이 재산을 무상으로 상대방(친족 또는 타인)에게 수여하는 의사를 표시하고 상대방이 이를 승낙하여 성립하는 낙성·무상·편무(諾成·無償·片務)의 계약을 말한다. 또한 타인으로부터 채무의 면제·인수 또는 제3자에 대한 변제를 받은 자는 그 면제·인수 또는 변제로 인한 이익에 해당하는 금액을 증여받은 것으로 간주하며 현저히 저렴한 가액의 대가로 재산을 취득한 경우에도 시가와 대가와의 차액에 상당한 금액을 증여받은 것으로 간주하여 증여세부과대상이 된다.
3,기업이 이익을 발생시켜 회사내에 누적하여 온 이익잉여금의 일부를 기업의 소유주에게 분배하는 것을 말한다. 배당금은 영업활동에서 발생하는 비용과 일맥상통하는 면이 있으나 배당금은 비용이 아니다. 배당금은 보통 현금으로 지급되지만 주식에 의한 경우와 어음에 의한 경우등 여러 가지 형태가 있다.
4,"거래는 거래의 8요소에 의한 계정기입의 법칙에 의해서 각 계정에 기입된다. 그러나 매일 빈번하게 발생하는 거래를 직접 각 계정에 기입하면 오기 또는 누락될 가능성이 있다. 그래서 계정계좌에 기입하기 전에 각 거래마다 어느 계정의 차변에 또는 대변에 얼마만한 금액을 기입할 것인가 하는 것을 결정하여야 한다. 이러한 절차를 분개라 한다.즉, 분개는 구체적인 계정과목과 금액을 정하는 것을 말하며, 거래에 대한 최초의 회계기록이기도 하다. 분개기록의 형식은 차변에 기록할 계정에 대해서는 왼쪽에, 대변에 기록할 계정에 대해서는 오른쪽에 각각 계정과목과 금액을 표시한다. 이 경우의 분개에 있어서도 거래의 이중성의 원칙에 따라 차변금액과 대변금액은 반드시 일치해야 한다."
5,"매출총이익률은 매출로부터 얼마만큼의 이익을 얻느냐를 나타내는 재무비율이다. 이 비율의 분모로는 매출액이 이용되고, 그 분자는 매출총이익이다.
	매출총이익률＝매출총이익/매출액
"
6,"경영수단으로 반복사용되며 구체적인 형태를 갖춘 고정자산으로 유형자산은 기업의 영업목적을 달성하기 위하여 장기간에 걸쳐 계속 사용할 목적으로 보유하고 있는 자산이다.
	유형자산의 종류로는 ① 토지 ② 건물 ③ 기계장치 ④ 구축물 ⑤ 선박 ⑥ 차량운반구 ⑦ 공구와 기구 ⑧ 비품 ⑨ 건설중인 자산 등이 있으며, 위에 속하지 않는 기타의 유형자산은 이를 구분하여 그 자산을 표시하는 과목으로 기재한다.
"
7,타인의 부동산 또는 동산을 월세 등의 조건으로 사용하기 위하여 지급하는 보증금을 말한다.
8,"

단기차입금
회계·세무 용어사전

대차대조표의 작성일(결산일)을 기산일로 하여 변제기한이 1년 이내에 도래하는 차입금을 단기차입금이라고 한다. 일반적으로는 운전자금으로서 많이 이용되고, 재고·구입자금·매출채권의 장기화에 의한 자금·보너스 자금·세자금 등 그 자금의 용도는 여러 부문에 걸쳐 있다.
외국어 표기 短期借入金(한자)

"
9,"제조업을 영위하는 사업자가 부가가치세를 면제받아 공급받은 농산물·수산물·축산물·임산물을 원재료로 제조·가공한 물품을 판매하는 경우에는 그 면제되는 물품의 가액에 업종별·종류별로 재무부령이 정하는 일정률을 곱해서 계산한 금액을 매입세액으로서 공제할 수 있는데, 이러한 제도를 의제매입세액공제라 한다(부가세시행령 제62조 1항).
	의제매입세액공제 규정을 적용받으려면 국세청이 정하는 바에 의해 면세로 공급받은 물품의 명세서를 예정·확정신고서와 함께 소관 세무서장에게 제출해야 한다(동법 제2항).
"
